Request Number,Latency (seconds)
1,0.16555094718933105
2,0.09218978881835938
3,0.09713912010192871
4,0.1068873405456543
5,0.09837627410888672
6,0.08391809463500977
7,0.13797807693481445
8,0.10618042945861816
9,0.1085669994354248
10,0.09774565696716309
11,0.10791850090026855
12,0.12221288681030273
13,0.0941314697265625
14,0.12418365478515625
15,0.09000658988952637
16,0.1000983715057373
17,0.08996915817260742
18,0.08611631393432617
19,0.08853983879089355
20,0.11785173416137695
21,0.09591412544250488
22,0.10223174095153809
23,0.09060192108154297
24,0.10464620590209961
25,0.08500933647155762
26,0.11649036407470703
27,0.08963322639465332
28,0.08413887023925781
29,0.08562326431274414
30,0.09057331085205078
31,0.09204864501953125
32,0.10008120536804199
33,0.09009218215942383
34,0.09802913665771484
35,0.09315705299377441
36,0.08715367317199707
37,0.0869448184967041
38,0.11114001274108887
39,0.09374260902404785
40,0.10786652565002441
41,0.08295202255249023
42,0.09206485748291016
43,0.11588668823242188
44,0.09599828720092773
45,0.10334420204162598
46,0.08908510208129883
47,0.09003639221191406
48,0.0814208984375
49,0.08436751365661621
50,0.09358334541320801
51,0.0875694751739502
52,0.12557435035705566
53,0.08805370330810547
54,0.09081888198852539
55,0.08955740928649902
56,0.10728788375854492
57,0.0928030014038086
58,0.0944368839263916
59,0.0917673110961914
60,0.11598992347717285
61,0.08799362182617188
62,0.09014391899108887
63,0.10664224624633789
64,0.08668398857116699
65,0.08528947830200195
66,0.0915060043334961
67,0.09563660621643066
68,0.08199501037597656
69,0.07981491088867188
70,0.08329081535339355
71,0.1640634536743164
72,0.09598588943481445
73,0.09443283081054688
74,0.09683847427368164
75,0.1099402904510498
76,0.0933694839477539
77,0.11613297462463379
78,0.09089398384094238
79,0.10627222061157227
80,0.10912084579467773
81,0.09108972549438477
82,0.10591697692871094
83,0.1121678352355957
84,0.09330511093139648
85,0.13401556015014648
86,0.09211492538452148
87,0.08981728553771973
88,0.0904378890991211
89,0.08803653717041016
90,0.10197567939758301
91,0.09222745895385742
92,0.08826708793640137
93,0.10522603988647461
94,0.08866643905639648
95,0.08903741836547852
96,0.09203934669494629
97,0.08810782432556152
98,0.08739519119262695
99,0.08214640617370605
100,0.08985662460327148
